date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
3/7/2000,0.91,-0.29,0.83,-0.2,0.26,0.024,-0.58,2.6,0.59,0.007551991
5/7/2000,-1.6,0.57,1.83,0.58,1.31,0.024,-1.67,-0.28,-1.12,0
6/7/2000,0.87,-0.1,-0.09,-0.38,-0.88,0.024,0.67,0.29,0.11,0
7/7/2000,1.46,-0.88,-0.79,0.38,-0.45,0.024,1.11,0.07,0.31,0.00217647
10/7/2000,-0.13,0.35,0.76,0.66,0.6,0.024,-0.27,-0.46,0.29,0.001784346
11/7/2000,0.12,-0.24,0.24,0.44,1.08,0.024,0.37,-0.49,0.01,0.003206474
12/7/2000,1.31,0.28,-0.87,-1.45,-1.3,0.024,0.79,0.78,0.58,0.000873574
13/07/2000,0.51,-0.02,-0.48,-1.68,-1.35,0.024,0.05,1.04,-0.19,-0.000379182
14/07/2000,0.94,-0.61,-0.51,-0.55,-1.04,0.024,-0.09,0.43,0.24,0.001812116
17/07/2000,0.1,0.68,-1.1,-0.27,-0.21,0.024,0.93,0.1,0.17,0.001841321
18/07/2000,-1.35,0.43,1.22,0.76,0.92,0.024,-1.01,0.64,-0.17,0.003355378
19/07/2000,-1.19,-0.14,1.39,1.17,0.95,0.024,-0.88,1.05,-0.94,-0.003983935
20/07/2000,1.33,-0.37,-0.95,-0.89,-0.84,0.024,1.64,0.02,-0.92,-0.006063052
21/07/2000,-1.3,-0.32,1.23,0.97,1.03,0.024,-0.7,-0.44,-0.68,0.002714953
24/07/2000,-1.44,-0.21,0.84,1.67,0.78,0.024,-0.95,0.59,-0.18,-0.003103272
25/07/2000,0.51,-0.69,0,-0.08,-0.75,0.024,0.1,-0.12,-0.14,-0.001675613
26/07/2000,-1.33,1.09,0.73,0.3,0.32,0.024,0.69,-0.29,-0.6,0.000377574
27/07/2000,-0.9,-1.26,2.56,2.26,1.7,0.024,-1.21,0.36,-1.81,-0.003472011
28/07/2000,-2.33,-0.01,2.04,1.58,1.61,0.024,-1.34,0.63,0.82,0.007720052
31/07/2000,1.03,0.59,-0.51,-0.14,-0.98,0.024,0.52,0.91,-0.13,0.004853729
1/8/2000,0.16,-0.92,1.53,0.65,1.98,0.022,-0.66,-0.12,0.02,0.000276995
2/8/2000,0.02,0.05,0.38,0.58,0.63,0.022,0.01,0.22,-0.19,-0.004929824
3/8/2000,1.11,-1.25,0.04,0.12,-1.17,0.022,0.4,0.08,-1.16,-0.009799995
4/8/2000,0.89,-0.4,-0.1,-0.6,0.01,0.022,0.28,-0.58,-0.34,-0.003046155
7/8/2000,1.16,-0.17,-0.45,-0.32,-0.61,0.022,0.48,0.32,0.2,-0.005741537
8/8/2000,0.1,-0.38,0.96,0.55,0.42,0.022,-0.51,-0.36,-0.02,-0.000858895
